min_dist_2O,max_dist_2O,min_dist_carbonyl,max_dist_carbonyl,max_path_non_rotatabale_bonds_carbonyl,min_path_non_rotatabale_bonds_carbonyl,max_path_non_rotatabale_bonds_2O,min_path_non_rotatabale_bonds_2O,SMILES
3,3,3,3,0,0,0,0,C(=O)(C(=O)O)O
100,0,100,0,0,0,0,0,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
100,0,100,0,0,0,0,0,C1=CC(=CC=C1N)N
100,0,100,0,0,0,0,0,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl
2,5,5,5,0,0,0,0,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
100,0,100,0,0,0,0,0,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCl
100,0,100,0,0,0,0,0,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C
2,6,6,6,2,2,2,0,C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])[N+](=O)[O-]
2,14,100,0,0,0,6,0,CCN(CCO)C1=CC(=C(C=C1)N=NC2=NC=C(S2)[N+](=O)[O-])C
100,0,100,0,0,0,0,0,CN1C(=O)C=C(S1)Cl
5,5,5,5,3,3,3,3,C1=CC(=O)C=CC1=O
2,4,2,4,0,0,0,0,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+]
2,6,6,6,2,2,2,0,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
2,8,8,8,0,0,0,0,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
2,6,6,6,2,2,2,0,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F
100,0,100,0,0,0,0,0,C1=CC(=CC=C1N)N=C2C=C(C(=NC3=CC=C(C=C3)N)C=C2N)N
8,8,8,8,4,4,4,4,CC1=C(C=C(C=C1)N=C=O)N=C=O
6,6,6,6,0,0,0,0,C(CC=O)CC=O
4,4,100,0,0,0,1,1,C1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)Cl)Cl)O)Cl)Cl
2,2,100,0,0,0,0,0,C1=CC(=CC=C1CBr)[N+](=O)[O-]
4,4,4,4,0,0,0,0,CN(C(=O)N)N=O
100,0,100,0,0,0,0,0,C1CCC(CC1)N=C=NC2CCCCC2
5,5,100,0,0,0,3,3,C1=CC(=CC=C1O)O
100,0,100,0,0,0,0,0,C1(=NC(=NC(=N1)Cl)Cl)Cl
100,0,100,0,0,0,0,0,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
100,0,100,0,0,0,0,0,C=O
2,7,4,7,4,2,4,0,C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O
100,0,100,0,0,0,0,0,CN(C)C(=S)SSC(=S)N(C)C
100,0,100,0,0,0,0,0,C1=CC(=C(C=C1N)Cl)Cl
2,8,100,0,0,0,6,0,C1=CC2=C(C=C1N=C=S)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O
2,2,100,0,0,0,0,0,C1COC1=O
2,2,2,2,0,0,0,0,COS(=O)(=O)OC
100,0,100,0,0,0,0,0,C1=CC=C(C=C1)CBr
100,0,100,0,0,0,0,0,CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Zn+2]
2,4,100,0,0,0,1,0,CCCCCCOC(=O)C1=CC=CC=C1O
2,2,2,2,0,0,0,0,CCN(CCNS(=O)(=O)C)C1=CC(=C(C=C1)N)C
100,0,100,0,0,0,0,0,CC1=C(C=CC(=C1)N)N
2,6,100,0,0,0,3,0,CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O
100,0,100,0,0,0,0,0,CN1C(=O)C=CS1
100,0,100,0,0,0,0,0,CC(C)NC1=CC=C(C=C1)NC2=CC=CC=C2
100,0,100,0,0,0,0,0,C1=CC(=CC(=C1)CN)CN
3,3,100,0,0,0,0,0,CC(C)(C)C1=CC=C(C=C1)OCC2CO2
7,7,100,0,0,0,2,2,CC1=C(C=C(C=C1)NCCO)O
2,2,2,2,0,0,0,0,CC1=C(C=CC(=C1)N)N.OS(=O)(=O)O
100,0,100,0,0,0,0,0,C1CCC(C(C1)N)N
100,0,100,0,0,0,0,0,Cl[Co]Cl
3,4,100,0,0,0,2,1,C1=CC(=C(C(=C1)O)O)O
100,0,100,0,0,0,0,0,C1=CC=C(C(=C1)N)O
100,0,100,0,0,0,0,0,C1=CC(=CC(=C1)N)N
2,2,100,0,0,0,0,0,CCCCCC#CC(=O)OC
100,0,100,0,0,0,0,0,C1=CC=C(C=C1)NC2=CC=CC=C2N
100,0,100,0,0,0,0,0,C1=CC=C(C=C1)C(=CC=O)C2=CC=CC=C2
-1,2,-1,2,0,0,0,0,CCN(CCNS(=O)(=O)C)C1=CC(=C(C=C1)N)C.CCN(CCNS(=O)(=O)C)C1=CC(=C(C=C1)N)C.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O
4,4,100,0,0,0,1,1,CC1=CC(=C(C(=C1)O)C=O)O
100,0,100,0,0,0,0,0,CC1=CCC(CC1=NO)C(=C)C
3,7,100,0,0,0,3,1,C1=CC(=C(C=C1CCO)O)O
100,0,100,0,0,0,0,0,C1=CN=C(N=C1Cl)Cl
2,2,100,0,0,0,0,0,CC1=NC2=CC=CC=C2C(=O)O1
2,2,100,0,0,0,0,0,C1=CC(=C(C=C1SC#N)[N+](=O)[O-])N
