Position,Substructure
V1,>= 4 H
V2,>= 8 H
V3,>= 16 H
V4,>= 32 H
V5,>= 1 Li
V6,>= 2 Li
V7,>= 1 B
V8,>= 2 B
V9,>= 4 B
V10,>= 2 C
V11,>= 4 C
V12,>= 8 C
V13,>= 16 C
V14,>= 32 C
V15,>= 1 N
V16,>= 2 N
V17,>= 4 N
V18,>= 8 N
V19,>= 1 O
V20,>= 2 O
V21,>= 4 O
V22,>= 8 O
V23,>= 16 O
V24,>= 1 F
V25,>= 2 F
V26,>= 4 F
V27,>= 1 Na
V28,>= 2 Na
V29,>= 1 Si
V30,>= 2 Si
V31,>= 1 P
V32,>= 2 P
V33,>= 4 P
V34,>= 1 S
V35,>= 2 S
V36,>= 4 S
V37,>= 8 S
V38,>= 1 Cl
V39,>= 2 Cl
V40,>= 4 Cl
V41,>= 8 Cl
V42,>= 1 K
V43,>= 2 K
V44,>= 1 Br
V45,>= 2 Br
V46,>= 4 Br
V47,>= 1 I
V48,>= 2 I
V49,>= 4 I
V50,>= 1 Be
V51,>= 1 Mg
V52,>= 1 Al
V53,>= 1 Ca
V54,>= 1 Sc
V55,>= 1 Ti
V56,>= 1 V
V57,>= 1 Cr
V58,>= 1 Mn
V59,>= 1 Fe
V60,>= 1 Co
V61,>= 1 Ni
V62,>= 1 Cu
V63,>= 1 Zn
V64,>= 1 Ga
V65,>= 1 Ge
V66,>= 1 As
V67,>= 1 Se
V68,>= 1 Kr
V69,>= 1 Rb
V70,>= 1 Sr
V71,>= 1 Y
V72,>= 1 Zr
V73,>= 1 Nb
V74,>= 1 Mo
V75,>= 1 Ru
V76,>= 1 Rh
V77,>= 1 Pd
V78,>= 1 Ag
V79,>= 1 Cd
V80,>= 1 In
V81,>= 1 Sn
V82,>= 1 Sb
V83,>= 1 Te
V84,>= 1 Xe
V85,>= 1 Cs
V86,>= 1 Ba
V87,>= 1 Lu
V88,>= 1 Hf
V89,>= 1 Ta
V90,>= 1 W
V91,>= 1 Re
V92,>= 1 Os
V93,>= 1 Ir
V94,>= 1 Pt
V95,>= 1 Au
V96,>= 1 Hg
V97,>= 1 Tl
V98,>= 1 Pb
V99,>= 1 Bi
V100,>= 1 La
V101,>= 1 Ce
V102,>= 1 Pr
V103,>= 1 Nd
V104,>= 1 Pm
V105,>= 1 Sm
V106,>= 1 Eu
V107,>= 1 Gd
V108,>= 1 Tb
V109,>= 1 Dy
V110,>= 1 Ho
V111,>= 1 Er
V112,>= 1 Tm
V113,>= 1 Yb
V114,>= 1 Tc
V115,>= 1 U
V116,>= 1 any ring size 3
V117,>= 1 saturated or aromatic carbon-only ring size 3
V118,>= 1 saturated or aromatic nitrogen-containing ring size 3
V119,>= 1 saturated or aromatic heteroatom-containing ring size 3
V120,>= 1 unsaturated non-aromatic carbon-only ring size 3
V121,>= 1 unsaturated non-aromatic nitrogen-containing ring size 3
V122,>= 1 unsaturated non-aromatic heteroatom-containing ring size 3
V123,>= 2 any ring size 3
V124,>= 2 saturated or aromatic carbon-only ring size 3
V125,>= 2 saturated or aromatic nitrogen-containing ring size 3
V126,>= 2 saturated or aromatic heteroatom-containing ring size 3
V127,>= 2 unsaturated non-aromatic carbon-only ring size 3
V128,>= 2 unsaturated non-aromatic nitrogen-containing ring size 3
V129,>= 2 unsaturated non-aromatic heteroatom-containing ring size 3
V130,>= 1 any ring size 4
V131,>= 1 saturated or aromatic carbon-only ring size 4
V132,>= 1 saturated or aromatic nitrogen-containing ring size 4
V133,>= 1 saturated or aromatic heteroatom-containing ring size 4
V134,>= 1 unsaturated non-aromatic carbon-only ring size 4
V135,>= 1 unsaturated non-aromatic nitrogen-containing ring size 4
V136,>= 1 unsaturated non-aromatic heteroatom-containing ring size 4
V137,>= 2 any ring size 4
V138,>= 2 saturated or aromatic carbon-only ring size 4
V139,>= 2 saturated or aromatic nitrogen-containing ring size 4
V140,>= 2 saturated or aromatic heteroatom-containing ring size 4
V141,>= 2 unsaturated non-aromatic carbon-only ring size 4
V142,>= 2 unsaturated non-aromatic nitrogen-containing ring size 4
V143,>= 2 unsaturated non-aromatic heteroatom-containing ring size 4
V144,>= 1 any ring size 5
V145,>= 1 saturated or aromatic carbon-only ring size 5
V146,>= 1 saturated or aromatic nitrogen-containing ring size 5
V147,>= 1 saturated or aromatic heteroatom-containing ring size 5
V148,>= 1 unsaturated non-aromatic carbon-only ring size 5
V149,>= 1 unsaturated non-aromatic nitrogen-containing ring size 5
V150,>= 1 unsaturated non-aromatic heteroatom-containing ring size 5
V151,>= 2 any ring size 5
V152,>= 2 saturated or aromatic carbon-only ring size 5
V153,>= 2 saturated or aromatic nitrogen-containing ring size 5
V154,>= 2 saturated or aromatic heteroatom-containing ring size 5
V155,>= 2 unsaturated non-aromatic carbon-only ring size 5
V156,>= 2 unsaturated non-aromatic nitrogen-containing ring size 5
V157,>= 2 unsaturated non-aromatic heteroatom-containing ring size 5
V158,>= 3 any ring size 5
V159,>= 3 saturated or aromatic carbon-only ring size 5
V160,>= 3 saturated or aromatic nitrogen-containing ring size 5
V161,>= 3 saturated or aromatic heteroatom-containing ring size 5
V162,>= 3 unsaturated non-aromatic carbon-only ring size 5
V163,>= 3 unsaturated non-aromatic nitrogen-containing ring size 5
V164,>= 3 unsaturated non-aromatic heteroatom-containing ring size 5
V165,>= 4 any ring size 5
V166,>= 4 saturated or aromatic carbon-only ring size 5
V167,>= 4 saturated or aromatic nitrogen-containing ring size 5
V168,>= 4 saturated or aromatic heteroatom-containing ring size 5
V169,>= 4 unsaturated non-aromatic carbon-only ring size 5
V170,>= 4 unsaturated non-aromatic nitrogen-containing ring size 5
V171,>= 4 unsaturated non-aromatic heteroatom-containing ring size 5
V172,>= 5 any ring size 5
V173,>= 5 saturated or aromatic carbon-only ring size 5
V174,>= 5 saturated or aromatic nitrogen-containing ring size 5
V175,>= 5 saturated or aromatic heteroatom-containing ring size 5
V176,>= 5 unsaturated non-aromatic carbon-only ring size 5
V177,>= 5 unsaturated non-aromatic nitrogen-containing ring size 5
V178,>= 5 unsaturated non-aromatic heteroatom-containing ring size 5
V179,>= 1 any ring size 6
V180,>= 1 saturated or aromatic carbon-only ring size 6
V181,>= 1 saturated or aromatic nitrogen-containing ring size 6
V182,>= 1 saturated or aromatic heteroatom-containing ring size 6
V183,>= 1 unsaturated non-aromatic carbon-only ring size 6
V184,>= 1 unsaturated non-aromatic nitrogen-containing ring size 6
V185,>= 1 unsaturated non-aromatic heteroatom-containing ring size 6
V186,>= 2 any ring size 6
V187,>= 2 saturated or aromatic carbon-only ring size 6
V188,>= 2 saturated or aromatic nitrogen-containing ring size 6
V189,>= 2 saturated or aromatic heteroatom-containing ring size 6
V190,>= 2 unsaturated non-aromatic carbon-only ring size 6
V191,>= 2 unsaturated non-aromatic nitrogen-containing ring size 6
V192,>= 2 unsaturated non-aromatic heteroatom-containing ring size 6
V193,>= 3 any ring size 6
V194,>= 3 saturated or aromatic carbon-only ring size 6
V195,>= 3 saturated or aromatic nitrogen-containing ring size 6
V196,>= 3 saturated or aromatic heteroatom-containing ring size 6
V197,>= 3 unsaturated non-aromatic carbon-only ring size 6
V198,>= 3 unsaturated non-aromatic nitrogen-containing ring size 6
V199,>= 3 unsaturated non-aromatic heteroatom-containing ring size 6
V200,>= 4 any ring size 6
V201,>= 4 saturated or aromatic carbon-only ring size 6
V202,>= 4 saturated or aromatic nitrogen-containing ring size 6
V203,>= 4 saturated or aromatic heteroatom-containing ring size 6
V204,>= 4 unsaturated non-aromatic carbon-only ring size 6
V205,>= 4 unsaturated non-aromatic nitrogen-containing ring size 6
V206,>= 4 unsaturated non-aromatic heteroatom-containing ring size 6
V207,>= 5 any ring size 6
V208,>= 5 saturated or aromatic carbon-only ring size 6
V209,>= 5 saturated or aromatic nitrogen-containing ring size 6
V210,>= 5 saturated or aromatic heteroatom-containing ring size 6
V211,>= 5 unsaturated non-aromatic carbon-only ring size 6
V212,>= 5 unsaturated non-aromatic nitrogen-containing ring size 6
V213,>= 5 unsaturated non-aromatic heteroatom-containing ring size 6
V214,>= 1 any ring size 7
V215,>= 1 saturated or aromatic carbon-only ring size 7
V216,>= 1 saturated or aromatic nitrogen-containing ring size 7
V217,>= 1 saturated or aromatic heteroatom-containing ring size 7
V218,>= 1 unsaturated non-aromatic carbon-only ring size 7
V219,>= 1 unsaturated non-aromatic nitrogen-containing ring size 7
V220,>= 1 unsaturated non-aromatic heteroatom-containing ring size 7
V221,>= 2 any ring size 7
V222,>= 2 saturated or aromatic carbon-only ring size 7
V223,>= 2 saturated or aromatic nitrogen-containing ring size 7
V224,>= 2 saturated or aromatic heteroatom-containing ring size 7
V225,>= 2 unsaturated non-aromatic carbon-only ring size 7
V226,>= 2 unsaturated non-aromatic nitrogen-containing ring size 7
V227,>= 2 unsaturated non-aromatic heteroatom-containing ring size 7
V228,>= 1 any ring size 8
V229,>= 1 saturated or aromatic carbon-only ring size 8
V230,>= 1 saturated or aromatic nitrogen-containing ring size 8
V231,>= 1 saturated or aromatic heteroatom-containing ring size 8
V232,>= 1 unsaturated non-aromatic carbon-only ring size 8
V233,>= 1 unsaturated non-aromatic nitrogen-containing ring size 8
V234,>= 1 unsaturated non-aromatic heteroatom-containing ring size 8
V235,>= 2 any ring size 8
V236,>= 2 saturated or aromatic carbon-only ring size 8
V237,>= 2 saturated or aromatic nitrogen-containing ring size 8
V238,>= 2 saturated or aromatic heteroatom-containing ring size 8
V239,>= 2 unsaturated non-aromatic carbon-only ring size 8
V240,>= 2 unsaturated non-aromatic nitrogen-containing ring size 8
V241,>= 2 unsaturated non-aromatic heteroatom-containing ring size 8
V242,>= 1 any ring size 9
V243,>= 1 saturated or aromatic carbon-only ring size 9
V244,>= 1 saturated or aromatic nitrogen-containing ring size 9
V245,>= 1 saturated or aromatic heteroatom-containing ring size 9
V246,>= 1 unsaturated non-aromatic carbon-only ring size 9
V247,>= 1 unsaturated non-aromatic nitrogen-containing ring size 9
V248,>= 1 unsaturated non-aromatic heteroatom-containing ring size 9
V249,>= 1 any ring size 10
V250,>= 1 saturated or aromatic carbon-only ring size 10
V251,>= 1 saturated or aromatic nitrogen-containing ring size 10
V252,>= 1 saturated or aromatic heteroatom-containing ring size 10
V253,>= 1 unsaturated non-aromatic carbon-only ring size 10
V254,>= 1 unsaturated non-aromatic nitrogen-containing ring size 10
V255,>= 1 unsaturated non-aromatic heteroatom-containing ring size 10
V256,>= 1 aromatic ring
V257,>= 1 hetero-aromatic ring
