rowPC,description_PC,sir_absol_ind
1,>= 4 H,528
2,>= 8 H,529
3,>= 16 H,530
4,>= 32 H,531
5,>= 1 Li,532
6,>= 2 Li,533
7,>= 1 B,534
8,>= 2 B,535
9,>= 4 B,536
10,>= 2 C,537
11,>= 4 C,538
12,>= 8 C,539
13,>= 16 C,540
14,>= 32 C,541
15,>= 1 N,542
16,>= 2 N,543
17,>= 4 N,544
18,>= 8 N,545
19,>= 1 O,546
20,>= 2 O,547
21,>= 4 O,548
22,>= 8 O,549
23,>= 16 O,550
24,>= 1 F,551
25,>= 2 F,552
26,>= 4 F,553
27,>= 1 Na,554
28,>= 2 Na,555
29,>= 1 Si,556
30,>= 2 Si,557
31,>= 1 P,558
32,>= 2 P,559
33,>= 4 P,560
34,>= 1 S,561
35,>= 2 S,562
36,>= 4 S,563
37,>= 8 S,564
38,>= 1 Cl,565
39,>= 2 Cl,566
40,>= 4 Cl,567
41,>= 8 Cl,568
42,>= 1 K,569
43,>= 2 K,570
44,>= 1 Br,571
45,>= 2 Br,572
46,>= 4 Br,573
47,>= 1 I,574
48,>= 2 I,575
49,>= 4 I,576
50,>= 1 Be,577
51,>= 1 Mg,578
52,>= 1 Al,579
53,>= 1 Ca,580
54,>= 1 Sc,581
55,>= 1 Ti,582
56,>= 1 V,583
57,>= 1 Cr,584
58,>= 1 Mn,585
59,>= 1 Fe,586
60,>= 1 Co,587
61,>= 1 Ni,588
62,>= 1 Cu,589
63,>= 1 Zn,590
64,>= 1 Ga,591
65,>= 1 Ge,592
66,>= 1 As,593
67,>= 1 Se,594
68,>= 1 Kr,595
69,>= 1 Rb,596
70,>= 1 Sr,597
71,>= 1 Y,598
72,>= 1 Zr,599
73,>= 1 Nb,600
74,>= 1 Mo,601
75,>= 1 Ru,602
76,>= 1 Rh,603
77,>= 1 Pd,604
78,>= 1 Ag,605
79,>= 1 Cd,606
80,>= 1 In,607
81,>= 1 Sn,608
82,>= 1 Sb,609
83,>= 1 Te,610
84,>= 1 Xe,611
85,>= 1 Cs,612
86,>= 1 Ba,613
87,>= 1 Lu,614
88,>= 1 Hf,615
89,>= 1 Ta,616
90,>= 1 W,617
91,>= 1 Re,618
92,>= 1 Os,619
93,>= 1 Ir,620
94,>= 1 Pt,621
95,>= 1 Au,622
96,>= 1 Hg,623
97,>= 1 Tl,624
98,>= 1 Pb,625
99,>= 1 Bi,626
100,>= 1 La,627
101,>= 1 Ce,628
102,>= 1 Pr,629
103,>= 1 Nd,630
104,>= 1 Pm,631
105,>= 1 Sm,632
106,>= 1 Eu,633
107,>= 1 Gd,634
108,>= 1 Tb,635
109,>= 1 Dy,636
110,>= 1 Ho,637
111,>= 1 Er,638
112,>= 1 Tm,639
113,>= 1 Yb,640
114,>= 1 Tc,641
