Compound,Neutral.Formula,CAS,CAS_RN,InChIKey,mz,Adduct,Charge,CCS,SD,RSD,CCS.z,Peak.N,Kingdom,Super.Class,Class,Subclass,N.Rep,Sources
(+)-Octopamine,C8H11NO2,770-05-8,CAS_RN:770-05-8,PUMZXCBVHLCWQG-QRPNPIFTSA-N,176.0676,[M+Na],1,147.8,1.162,0.0079,147.8,1,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,4,8
(2-Aminoethyl)phosphonate,C2H8NO3P,2041-14-7,CAS_RN:2041-14-7,QQVDJLLNRSOCEL-UHFFFAOYSA-N,124.0169,[M-H],-1,120.3,0.65,0.0054,120.3,1,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,4,8
(2-Aminoethyl)phosphonate,C2H8NO3P,2041-14-7,CAS_RN:2041-14-7,QQVDJLLNRSOCEL-UHFFFAOYSA-N,126.0311,[M+H],1,130.1,1.194,0.0092,130.1,1,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,7,"7, 8"
(2-Aminoethyl)phosphonate,C2H8NO3P,2041-14-7,CAS_RN:2041-14-7,QQVDJLLNRSOCEL-UHFFFAOYSA-N,148.0126,[M+Na],1,136.6,0.222,0.0016,136.6,1,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,4,8
(S)-Adenosyl-L-methionine,C15H22N6O5S,29908-03-0,CAS_RN:29908-03-0,MEFKEPWMEQBLKI-AIRLBKTGSA-N,399.1451,[M+H],1,185.6,0.385,0.0021,185.6,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",7,"7, 8"
(S)-Adenosylhomocysteine,C14H20N6O5S,979-92-0,CAS_RN:979-92-0,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,405.0962,[M-2H+Na],-1,180.1,0.416,0.0023,180.1,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,4,8
(S)-Adenosylhomocysteine,C14H20N6O5S,979-92-0,CAS_RN:979-92-0,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,383.1152,[M-H],-1,186.4,0.238,0.0013,186.4,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,4,8
(S)-Adenosylhomocysteine,C14H20N6O5S,979-92-0,CAS_RN:979-92-0,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,385.1274,[M+H],1,183,0.222,0.0012,183,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,4,8
(S)-Adenosylhomocysteine,C14H20N6O5S,979-92-0,CAS_RN:979-92-0,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,407.1089,[M+Na],1,189.3,0.67,0.0035,189.3,1,Organic compounds,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,5'-deoxy-5'-thionucleosides,4,8
(S)-Carboxymethylcysteine,C5H9NO4S,638-23-3,CAS_RN:638-23-3,GBFLZEXEOZUWRN-VKHMYHEASA-N,200.0001,[M-2H+Na],-1,136.9,0.332,0.0024,136.9,1,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4,8
