Name,Class,PubChemCID
methyl 2-acetamido-2-deoxy-?-D-glucopyranoside    ,1,96523
2-Deoxy-D-Ribose     ,1,5460005
2-Fluoro-2-Deoxy-D-Glucose (Fluorodeoxyglucose F18)   ,1,68614
3-(2-hydroxyethylindole)     ,1,10685
3-Isobutyl-1-methylxanthine     ,1,3756
Adipic acid    ,1,196
Ala-Ala     ,1,5484352
Ala-Ala-Ala     ,1,5478845
alpha-D-Sophorose     ,1,88719
alpha-D-Talose     ,1,81696
D-Galacturonic acid    ,1,439215
L-Glucose     ,1,10954115
"4,4' -Sulfonyldiphenol    ",0,6626
Bisphenol A diglycidyl ether  ,1,2286
Oleamide     ,1,5283387
Phe-Phe     ,1,6993090
"4-Androsten-11Beta-ol-3, 17-dione    ",1,94141
Oleoyl-L-carnitine hydrochloride    ,1,46907933
Elaidoyl-L-carnitine hydrochloride    ,0,25105266
Biliverdin hydrochloride    ,0,5280353
Bisphenol A mono-B-D-glucuronide   ,1,71434008
2-Arachidonyl Glycerol ether   ,1,6483057
N-Arachidonyldopamine     ,1,5282105
Palmitoylethanolamide     ,1,4671
O-Arachnidonoyl ethanolamine hydrochloride   ,1,178102195
diacyl glycerol mixture; DICAPRIN  ,1,1321
MONODOCOSAHEXAENOIN   ,1,
1-MONOLINOLENIN   ,1,5872092
MONOARACHIDONIN (MONODOCOSAHEXAENOIN contaminant likely),1,
MONOMYRISTOLEIN   ,1,6453334
MONOLAURIN   ,1,14871
MONOOLEIN   ,1,5283468
MONOPALMITOLEIN   ,1,9883914
MONOBRASSIDIN   ,1,
MONOLAURIN   ,1,14871
MONOMYRISTOLEIN   ,1,6453334
MONONERVONIN   ,1,45934134
MONOBEHENIN   ,1,5362585
MONOSTEARIN   ,1,24699
MONOLINOLENIN   ,1,5367328
MONOPALMITIN   ,1,14900
MONOSTEARIN   ,1,24699
MONOMYRISTIN   ,1,79050
MONOOLEIN   ,1,5283468
"1,2-distearoyl-sn-glycero-3-phosphocholine     ",1,94190
"1,2-dimyristoyl-sn-glycero-3-phosphocholine     ",1,5459377
"1,2-dipalmitoyl-sn-glycero-3-phosphocholine     ",1,452110
"1,2-diarachidoyl-sn-glycero-3-phosphocholine     ",1,22880141
"1,2-dibehenoyl-sn-glycero-3-phosphocholine     ",1,21308787
"1,2-dilignoceroyl-sn-glycero-3-phosphocholine     ",1,24779171
"1,2-dioleoyl-sn-glycero-3-phosphocholine     ",1,10350317
"1,2-dilinoleoyl-sn-glycero-3-phosphocholine     ",1,5288075
"1,2-dipetroselenoyl-sn-glycero-3-phosphocholine     ",1,24778922
"1,2-dilinolenoyl-sn-glycero-3-phosphocholine     ",1,24778990
"1,2-dipalmitoleoyl-sn-glycero-3-phosphocholine     ",1,24778764
"1,2-dieicosenoyl-sn-glycero-3-phosphocholine     ",1,24779063
"1,2-dierucoyl-sn-glycero-3-phosphocholine     ",1,24779126
"1,2-didocosahexaenoyl-sn-glycero-3-phosphocholine     ",0,24779134
1-palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine     ,1,6441886
1-oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine     ,1,24778933
1-lauroyl-2-hydroxy-sn-glycero-3-phosphocholine     ,1,460605
1-palmitoyl-2-hydroxy-sn-glycero-3-phosphocholine     ,1,460602
1-stearoyl-2-hydroxy-sn-glycero-3-phosphocholine     ,1,497299
1-oleoyl-2-hydroxy-sn-glycero-3-phosphocholine     ,1,16081932
1-arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine     ,1,24779473
1-lignoceroyl-2-hydroxy-sn-glycero-3-phosphocholine     ,1,24779481
"1,2-dimyristoyl-sn-glycero-3-phosphoethanolamine     ",1,9852308
"1,2-dioleoyl-sn-glycero-3-phosphoethanolamine     ",1,9546757
"1,2-dilinoleoyl-sn-glycero-3-phosphoethanolamine     ",1,9546812
"1,2-diarachidonoyl-sn-glycero-3-phosphoethanolamine     ",1,91746203
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine     ,1,5283496
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine     ,1,9546742
1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine     ,1,5289133
1-palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine     ,1,9547069
1-Stearoyl-2-Hydroxy-sn-Glycero-3-Phosphoethanolamine     ,1,9547068
1-myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine     ,1,9547070
1-oleoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine     ,1,58177709
1-stearoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt)   ,1,46887201
16:0 Lyso PG   ,0,53480922
18:1 Lyso PG   ,1,53480465
14:0 Lyso PG   ,1,53480919
"1,2-di-O-octadecyl-sn-glycero-3-phosphocholine     ",0,9547096
16:0 Diether PC   ,1,22840381
1-C16 Ether MG   ,1,
1-C16-2-C1 DG    ,1,
1-(1Z-octadecenyl)-2-oleoyl-sn-glycero-3-phosphoethanolamine     ,1,42607457
1-O-1'-(Z)-octadecenyl-2-hydroxy-sn-glycero-3-phosphocholine     ,1,24779527
1-(1Z-octadecenyl)-2-oleoyl-sn-glycero-3-phosphocholine     ,1,42607428
1-O-1'-(Z)-octadecenyl-2-hydroxy-sn-glycero-3-phosphoethanolamine     ,1,136212488
D-erythro-sphingosine     ,1,5280335
D-erythro-sphingosine (C20 base)   ,1,46891771
3-deoxy sphingosine    ,1,10613000
1-deoxysphinganine (m18:0)    ,1,73242207
1-desoxymethylsphinganine (m17:0)    ,1,70678793
L-threo-dihydrosphingosine (d18:0)    ,1,3058739
Trimethyl Sphingosine (d18:1)   ,0,6443882
C18 Ceramide (d18:1/18:0)   ,1,5283583
C12 Ceramide (d18:1/12:0)   ,1,5283580
C14 Ceramide (d18:1/14:0)   ,1,5282310
C16 Ceramide (d18:1/16:0)   ,1,53477895
C18:1 Ceramide (d18:1/18:1(9Z))   ,1,5283563
C24 Ceramide (d18:1/24:0)   ,1,5283587
C24:1 Ceramide (d18:1/24:1(15Z))   ,1,10865704
C20 Ceramide (d18:1/20:0)   ,1,53481000
C22 Ceramide (d18:1/22:0)   ,1,5283567
1-oleoyl-N-heptadecanoyl-D-erythro-sphingosine     ,1,118698110
C12 Dihydroceramide (d18:0/12:0)   ,1,53481046
C16 Dihydroceramide (d18:0/16:0)   ,1,5283572
C18 Dihydroceramide (d18:0/18:0)   ,1,4255985
C18:1 Dihydroceramide (d18:0/18:1(9Z))   ,1,6442676
C24:1 Dihydroceramide (d18:0/24:1(15Z))   ,0,5283576
16:0(2R-OH) Ceramide    ,1,136212728
18:0(2R-OH) Ceramide    ,1,95858620
18:1(2R-OH) Ceramide    ,1,136212737
20:0(2R-OH) Ceramide    ,1,136212732
24:0(2R-OH) Ceramide    ,1,76308629
16:0 SM (d18:1/16:0)   ,1,9939941
18:0 SM (d18:1/18:0)   ,1,6453725
18:1 SM (d18:1/18:1(9Z))   ,1,6443882
24:0 SM    ,1,44260127
Lyso SM (d18:1)   ,1,9847290
Sphingosyl PE (d18:1)   ,1,46891765
C12 Sphingosyl PE (d17:1/12:0)  ,1,136212678
C12 Carnitine    ,1,168381
C16 Carnitine    ,1,11953816
C18:1(?9-cis) Carnitine    ,1,6441392
C18-02:0 PC    ,1,
C18 Lyso PAF   ,1,3985
C18:1 Lyso PAF   ,1,24779510
C16-02:0 DG    ,1,11024766
C16-04:0 PC    ,1,24779310
C16-20:3 PC    ,1,16759365
C16-20:4 PC    ,1,6443139
C16-20:5 PC    ,1,10485310
Lyso PAF (from Heart PC) ,1,162126
C18-04:0 PC    ,1,24779346
C18:1 anandamide    ,1,5283454
C17:1 anandamide    ,1,89587078
C20:4 anandamide (AEA)   ,1,5281969
2-arachidonoyl glycerol    ,1,5282280
2-oleoyl glycerol    ,1,5319879
N-16:0 L-Serine    ,1,
N-16:0 L-Serine MeEster    ,1,
N-20:4 L-Serine MeEster   ,1,
1-palmitoyl-2-glutaryl-sn-glycero-3-phosphocholine     ,1,6443788
N-oleoylglycine     ,1,6436908
N-palmitoylglycine     ,1,151008
N-arachidonoylglycine     ,1,5283389
Monogalactosyldiacylglycerol (Plant)    ,1,90657729
Digalactosyldiacylglycerol (Plant)    ,1,10724471
12:0 DG    ,1,151838
16:0 DG    ,1,644078
16:0-18:1 DG    ,1,5282283
18:0-18:2 DG    ,1,6441562
18:0-22:6 DG    ,1,9543881
18:1-2:0 DG    ,1,6437055
PGE1     ,1,5280723
PGF1?     ,1,5280939
PGF1ß     ,1,
PGA1     ,1,5281912
PGB1     ,1,5280388
Coenzyme Q6 (S. cerevisiae)  ,1,5283544
Coenzyme Q8 (E. coli)   ,1,5280346
N-oleoylglycine     ,1,6436908
ß-sitostanol     ,1,6743
desmosterol     ,1,439577
zymosterol     ,1,92746
zymostenol     ,1,101770
lanosterol     ,1,246983
lanostenol     ,1,440560
zymosterone     ,1,22298942
7?-hydroxycholesterol     ,1,15571093
7?-hydroxycholestenone     ,1,129891756
